2025-06-26 10:36:49 | INFO | bilibili-crawler | 开始数据清洗
2025-06-26 10:37:38 | INFO | bilibili-crawler | 开始数据清洗
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第100期-2024年度-20250626_074859_883982.json20250626_103738_112696.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第101期-2024年度-20250626_074859_603396.json20250626_103738_116003.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第102期-2024年度-20250626_074859_306307.json20250626_103738_118026.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第103期-2024年度-20250626_074859_012839.json20250626_103738_130183.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第104期-2024年度-20250626_074858_735307.json20250626_103738_132873.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第105期-2024年度-20250626_074858_454517.json20250626_103738_134877.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第106期-2024年度-20250626_074858_149510.json20250626_103738_137829.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第107期-2024年度-20250626_074857_849057.json20250626_103738_140118.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第108期-2024年度-20250626_074857_561088.json20250626_103738_143090.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第109期-2024年度-20250626_074857_244228.json20250626_103738_146617.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第10期-2022年度-20250626_074831_094931.json20250626_103738_150104.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第110期-2024年度-20250626_074856_945405.json20250626_103738_152654.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第111期-2024年度-20250626_074856_656952.json20250626_103738_154921.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第112期-2024年度-20250626_074856_353873.json20250626_103738_157519.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第113期-2024年度-20250626_074856_052510.json20250626_103738_159438.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第114期-2024年度-20250626_074855_773078.json20250626_103738_161463.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第115期-2024年度-20250626_074855_487254.json20250626_103738_165032.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第116期-2024年度-20250626_074855_208471.json20250626_103738_169008.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第117期-2024年度-20250626_074854_895917.json20250626_103738_171003.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第118期-2024年度-20250626_074854_579275.json20250626_103738_173159.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第119期-2024年度-20250626_074854_286527.json20250626_103738_175630.json
