2025-06-26 11:49:22 | INFO | bilibili-crawler | 开始爬取数据
2025-06-26 11:49:22 | INFO | bilibili-crawler | 爬取数据完成
2025-06-26 11:49:22 | INFO | bilibili-crawler | 开始数据清洗
2025-06-26 11:49:22 | INFO | bilibili-crawler | 数据清洗完成
2025-06-26 11:49:22 | INFO | bilibili-crawler | 生成数据分析报告中
2025-06-26 11:50:56 | INFO | bilibili-crawler | 开始爬取数据
2025-06-26 11:50:56 | INFO | bilibili-crawler | 当前存储的文件为：音乐榜单-热榜-20250626_115056_930538.json
2025-06-26 11:50:59 | INFO | bilibili-crawler | 匹配到的文件: ['音乐榜单-热榜-20250626_115056_927869.json']
2025-06-26 11:50:59 | INFO | bilibili-crawler | 最新的原始数据文件: 音乐榜单-热榜-20250626_115056_927869.json
2025-06-26 11:50:59 | INFO | bilibili-crawler | 年度:2022
2025-06-26 11:51:00 | INFO | bilibili-crawler | 当前存储的文件为：音频榜单单期信息-热榜-第29期-2022年度-20250626_115100_744221.json
2025-06-26 11:51:01 | INFO | bilibili-crawler | 当前存储的文件为：音频榜单单期信息-热榜-第28期-2022年度-20250626_115101_540154.json
2025-06-26 11:51:02 | INFO | bilibili-crawler | 当前存储的文件为：音频榜单单期信息-热榜-第27期-2022年度-20250626_115102_316167.json
2025-06-26 11:51:03 | INFO | bilibili-crawler | 当前存储的文件为：音频榜单单期信息-热榜-第26期-2022年度-20250626_115103_030316.json
2025-06-26 11:51:03 | INFO | bilibili-crawler | 当前存储的文件为：音频榜单单期信息-热榜-第25期-2022年度-20250626_115103_733420.json
2025-06-26 11:51:04 | INFO | bilibili-crawler | 当前存储的文件为：音频榜单单期信息-热榜-第24期-2022年度-20250626_115104_425571.json
2025-06-26 11:51:05 | INFO | bilibili-crawler | 当前存储的文件为：音频榜单单期信息-热榜-第23期-2022年度-20250626_115105_117525.json
2025-06-26 11:51:05 | INFO | bilibili-crawler | 当前存储的文件为：音频榜单单期信息-热榜-第22期-2022年度-20250626_115105_861054.json
